shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Nike Air Max 90 SE Running Club, Nike, DC9336-300, 160, 78, 89, 89, 6374ff4bc30ceb3748b482d7, Nike Air Max 90 SE, Roma Green/Sail/Orange/Mean Green, 2021-11-16, Drawn from the 'Air Max Running Club' collection is the Nike Air Max 90 SE 'Roma Green.' The pair features a plush exposed foam tongue and mismatched 'AMRC' and 'BVRTN OR' tags on the lateral side of each shoe. Its' upper is made with lime green textile with a tonal suede overlay white leather Swoosh and red suede mudguard. On the bottom is a white polyurethane midsole with a visible Max Air unit surrounded by an orange midsole wedge.
Nike Air Max 90 SE Running Club Deep Royal, Nike, DC9336-400, 130, 98, 98, 98, 6374ff4bc30ceb3748b482d8, Nike Air Max 90 SE, Deep Royal/University Red-Black-Obsidian, 2021-11-18, Taken from the 'Air Max Running Club' collection is the Nike Air Max 90 SE 'Deep Royal.' The upper is made with an Obsidian textile base with blue suede overlays a red leather Swoosh and a black hairy suede mudguard. Mismatched woven tags on each shoe's lateral side show 'AMRC' and 'BVRTN OR' branding with a retro Nike Air tag decorating the exposed foam tongue. On the bottom is a polyurethane midsole with a visible Max Air unit in the heel and a waffle-traction rubber outsole.
Nike Air Max 97 SE Running Club Black Royal, Nike, DH1085-001, 190, 88, 104, 104, 6374ff4bc30ceb3748b482e3, Nike Air Max 97 SE, Black/Light Zitron-Deep Royal Blue-Obsidian, 2021-11-18, Drawing from the 'Air Max Running Club' collection is the Nike Air Max 97 SE 'Blue.' The upper combines a navy textile base with tonal suede overlays in smooth and hairy textures with an off-white finish applied to the laces and exposed foam tongue with a woven Nike Air tag. Additional branding elements include a yellow embroidered mini-Swoosh and mismatched tags that display 'AMRC' and 'BVRTN OR' lettering. It's built on a crisp white foam midsole with a visible Max Air unit running the length of the black rubber outsole.
adidas Ultra Boost 4.0 Running White, adidas, BB6168, 180, 127, 134, 70, 6374ff4bc30ceb3748b482e4, adidas Ultra Boost 4.0, Running White/Running White/Running White, 2017-11-30, The UltraBoost 4.0 'Triple White' emerges with an almost monochromatic look. The shoe's Primeknit upper is finished entirely in Footwear White including on the lacing cage and stabilizing heel counter. The look is matched by the Boost midsole underfoot but the Continental rubber outsole brings contrast in black.
Nike Air Max 95 SE Running Club Deep Royal Blue, Nike, DH2718-001, 170, 104, 100, 100, 6374ff4bc30ceb3748b482e6, Nike Air Max 95 SE, Black/Sail-Obsidian-Deep Royal Blue, 2021-11-18, Taken from the 'Air Max Running Club' collection is the Nike Air Max 95 SE 'Black.' It features a vintage aesthetic that nods to Nike's role in the '70s running revolution. The redesigned upper has a black textile base with wavy hairy-suede overlays in blue and dark navy. A woven Nike Air tag is atop an exposed foam tongue with a small tag on the lateral heel inscribed with 'AMRC' on the right shoe and 'BVRTN OR' on the left. On the bottom is visible Max Air cushioning enhancing a solid white foam midsole that's supported by a black waffle-traction rubber outsole.
adidas NMD Hu Pharrell x Billionaire Boys Club Running Dog Green, adidas, GZ1664, 220, 95, 92, 90, 6374ff4bc30ceb3748b482fa, adidas NMD Hu, Customized/Core White/Brown, 2021-12-21, Featuring branding elements from Pharrell's streetwear brand Nigo and Sk8thing is the BBC Ice Cream x Pharrell x adidas NMD Human Race 'Running Dog.' This slip-on features a lush green Primeknit textile upper with BBC's Running Dog logo embroidered across the vamp of the right and left shoe. Mismatched Ice Cream and adidas branding is stamped on the contrasting brown leather heel tabs with a full-length Boost midsole.
Nike Air Max Plus SE Air Max Running Club University Blue, Nike, DC9332-600, 170, 97, 93, 60, 6374ff4bc30ceb3748b482fb, Nike Air Max Plus SE, University Red/Light Photo Blue/Sail/Pollen, 2021-11-18, Taken from the 'Air Max Running Club' collection inspired by the Athletics West running team founded in 1977 by Bill Bowerman Phil Knight and Geoff Hollister is the Nike Air Max Plus SE 'University Red Light Photo Blue.' Updated with an exposed-foam nylon tongue the retro runner features a blue textile upper with a crimson TPU cage and color-matched suede overlays. Woven tags on the lateral eyestay of each shoe show mismatched 'AMRC' and 'BVRTN OR' branding. On the bottom is a white polyurethane midsole with visible Max Air cushioning and a whale tail-inspired shank plate in a gradient blend of blue and yellow.
Reebok Question Low BBC Ice Cream Running Dog Yellow Purple, Reebok, G55351, 130, 190, 116, 116, 6374ff4bc30ceb3748b482fd, Reebok Question Low, Yellow/Purple/Purple, 2020-11-06, Reebok teamed up with Pharrell Williams' streetwear brand to create the BBC Ice Cream x Question Low 'Bubba Chuck Flavor.' Allen Iverson's debut signature shoe emerges with a pastel look built with a mix of leather and suede and highlighted by BBC's running dog icon on the quarter panel. The mismatched tongues include Ice Cream and Iverson branding while underfoot Hexalite in the forefoot and heel provides cushioning.
adidas Ultra Boost Undefeated Performance Running Black, adidas, BC0472, 220, 106, 96, 96, 6374ff4bc30ceb3748b482fe, adidas Ultra Boost, Shift Grey/Cinder/Utility Black, 2018-11-09, Included as part of a comprehensive running collection comprising both apparel and footwear the release of Undefeated x UltraBoost ‘Utility Black’ promotes a white-on-black camouflage print on the shoe’s Primeknit upper. The midfoot cage is outfitted in the same distinctive design motif while light grey wraps both the supportive heel counter and Stretchweb rubber outsole underfoot.
Reebok Question Low BBC Ice Cream Running Dog Yellow Green, Reebok, FZ4345, 130, 215, 200, 180, 6374ff4bc30ceb3748b482ff, Reebok Question Low, Yellow/Purple/Green, 2020-11-06, Reebok teamed up with Pharrell Willliams' streetwear brand to create the BBC Ice Cream x Question Low 'Yellow Lilac Glow' in November 2020. Built with leather the shoe's upper features a Fil Yellow base overlaid by Lilac Glow on the mudguard. The toe cap heel and quarter panel are built with green suede with BBC's running dog on the latter. A 3D Ice Cream logo on the tongue completes the look.
Reebok Question Low BBC Ice Cream Running Dog Yellow Red, Reebok, FZ4346, 130, 208, 123, 123, 6374ff4bc30ceb3748b48300, Reebok Question Low, Yellow/Red/Pink, 2020-11-06, The BBC Ice Cream x Question Low 'Yellow Red' released as part of a collaboration with Pharrell Williams' streetwear brand. Allen Iverson's first signature shoe emerges with a vibrant look on its elevated construction featuring a mix of yellow red and pink on its nubuck and suede build. BBC's running dog appears on the quarter panel while Ice Cream branding emerges on the tongue tag. Underfoot visible Hexalite in the forefoot and heel provides cushioning.
adidas EQT Running Support 93 Big Apple Bait, adidas, C77364, 160, 186, 149, 149, 6374ff4bc30ceb3748b48308, adidas EQT Running Support 93, Fromin/Black/White, 2015-01-31, The Bait x EQT Running Support ‘The Big Apple’ is a 2015 collaboration between the California-based sneaker boutique and adidas. The retro runner takes inspiration from an iconic New York City landmark featuring a teal nubuck upper that recalls the exterior coloring on the Statue of Liberty. In addition to black signature three-stripes the shoe is enlivened with pops of red on the heel tab and midsole.
adidas Pure Boost LTD Undefeated Performance Running, adidas, BC0474, 140, 140, 49, 49, 6374ff4bc30ceb3748b4830e, adidas Pure Boost LTD, Shift Grey/Cinder/Utility Black, 2018-11-09, The Undefeated x PureBoost LTD ‘Shift Grey’ dropped in November 2018 as part of a larger running collection featuring both apparel and footwear. This PureBoost sports a 3D knit textile upper highlighted with camouflage detailing on the tongue and heel that evokes Undefeated’s signature military-inspired style. Full-length Boost cushioning and a flexible outsole promote comfort and support.
adidas Ultra Boost Undefeated Performance Running Grey, adidas, CG7148, 220, 115, 60, 60, 6374ff4bc30ceb3748b48312, adidas Ultra Boost, Shift Grey/Cinder/Utility Black, 2018-11-09, The Undefeated x UltraBoost ‘Shift Grey’ subtly features a completely neutral colorway with subdued logos that draw attention to the collaborative nature of the release. A breathable Primeknit upper blending black and grey fibers is reinforced by a translucent TPU cage marked by UNDFTD lettering. Different tongue tags display Undefeated’s Five Strikes on the right shoe and an adidas logo on the left.
adidas NMD R1 Running White Grey Three, adidas, EE5074, 170, 130, 200, 80, 6374ff4bc30ceb3748b4831e, adidas NMD R1, Running White/Running White/Grey Three, 2019-07-01, Released in 2019 the NMD_R1 Primeknit 'Two Tone Boost - White' features a subtle look to live up to its name. The shoe's upper sports a Primeknit construction in white matched by the Three-Stripes TPU heel counter and eyestay. Grey Three emerges on the collar with black on the heel pull-tab. Underfoot the Boost midsole sports a mix of white and Grey Three with the blocking matched by the EVA plugs which provide stability. A rubber outsole is included for traction.
adidas EQT Running Support 93 Packer Shoes SL80, adidas, C77362, 140, 700, 120, undefined, 6374ff4bc30ceb3748b48324, adidas EQT Running Support 93, Blue/ Gold / Ststow, 2014-10-31, New Jersey sneaker boutique Packer Shoes mines the adidas vault to deliver a colorful take on the Equipment Running Support ‘SL 80’ released in 2014 just in time for the silhouette’s 35th anniversary. The retro runner sports a suede upper in varying shades of blue accented by gold three-stripes and a midsole finished in complementary red and yellow hues.
adidas EQT Running Support 93 Tokyo, adidas, B27661, undefined, 335, 60, 60, 6374ff4bc30ceb3748b48325, adidas EQT Running Support 93, Croyal/Blubir/Ftwwht, 2018-05-14, Inspired by American sprinter Robert Lee ‘Bullet Bob’ Hayes who ran in the 1964 Tokyo Olympics the limited-edition ‘Tokyo’ edition of the EQT Support 93 flaunts a Royal Blue all-suede upper with a matching leather heel counter and a woven Tokyo flag on the heel tab. The Three Stripes branding EVA midsole and rubber outsole are all dressed in white. And the silhouette is based on retro runner renowned for its blend of function and fashion.
