shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Nike Air Max 90 SE Running Club, Nike, DC9336-300, 160, 78, 89, 89, 6374fd7803a96e36ed3d38c6, Nike Air Max 90 SE, Roma Green/Sail/Orange/Mean Green, 2021-11-16, Drawn from the 'Air Max Running Club' collection is the Nike Air Max 90 SE 'Roma Green.' The pair features a plush exposed foam tongue and mismatched 'AMRC' and 'BVRTN OR' tags on the lateral side of each shoe. Its' upper is made with lime green textile with a tonal suede overlay white leather Swoosh and red suede mudguard. On the bottom is a white polyurethane midsole with a visible Max Air unit surrounded by an orange midsole wedge.
Nike Air Max 90 SE Running Club Deep Royal, Nike, DC9336-400, 130, 98, 98, 98, 6374fd7803a96e36ed3d38c7, Nike Air Max 90 SE, Deep Royal/University Red-Black-Obsidian, 2021-11-18, Taken from the 'Air Max Running Club' collection is the Nike Air Max 90 SE 'Deep Royal.' The upper is made with an Obsidian textile base with blue suede overlays a red leather Swoosh and a black hairy suede mudguard. Mismatched woven tags on each shoe's lateral side show 'AMRC' and 'BVRTN OR' branding with a retro Nike Air tag decorating the exposed foam tongue. On the bottom is a polyurethane midsole with a visible Max Air unit in the heel and a waffle-traction rubber outsole.
Nike Air Max 97 SE Running Club Black Royal, Nike, DH1085-001, 190, 88, 104, 104, 6374fd7803a96e36ed3d38c9, Nike Air Max 97 SE, Black/Light Zitron-Deep Royal Blue-Obsidian, 2021-11-18, Drawing from the 'Air Max Running Club' collection is the Nike Air Max 97 SE 'Blue.' The upper combines a navy textile base with tonal suede overlays in smooth and hairy textures with an off-white finish applied to the laces and exposed foam tongue with a woven Nike Air tag. Additional branding elements include a yellow embroidered mini-Swoosh and mismatched tags that display 'AMRC' and 'BVRTN OR' lettering. It's built on a crisp white foam midsole with a visible Max Air unit running the length of the black rubber outsole.
Nike Air Max 95 SE Running Club Deep Royal Blue, Nike, DH2718-001, 170, 104, 100, 100, 6374fd7803a96e36ed3d38ca, Nike Air Max 95 SE, Black/Sail-Obsidian-Deep Royal Blue, 2021-11-18, Taken from the 'Air Max Running Club' collection is the Nike Air Max 95 SE 'Black.' It features a vintage aesthetic that nods to Nike's role in the '70s running revolution. The redesigned upper has a black textile base with wavy hairy-suede overlays in blue and dark navy. A woven Nike Air tag is atop an exposed foam tongue with a small tag on the lateral heel inscribed with 'AMRC' on the right shoe and 'BVRTN OR' on the left. On the bottom is visible Max Air cushioning enhancing a solid white foam midsole that's supported by a black waffle-traction rubber outsole.
Nike React Phantom Run Flyknit 2 Black White Blend, Nike, CJ0277-003, 140, 102, 64, 64, 6374fd7803a96e36ed3d38d0, Nike React Phantom Run Flyknit 2, Black/White, 2020-07-17, A neutral look the React Phantom Run Flyknit 2 'Black Smoke Grey' is a performance runner. Rather than laces the shoe's upper is supported by elastic Flywire cables worked into its knit construction with tongue and heel pull-loops providing easy on and off. A molded TPU heel counter is included for stability while underfoot a React midsole provides cushioning.
Nike Vaporwaffle sacai Sesame Blue Void, Nike, DD1875-200, 180, 468, 400, 280, 6374fd7803a96e36ed3d38d2, Nike Vaporwaffle, Tan/White-Navy, 2021-04-29, Made in collaboration with Chitose Abe's Tokyo fashion label the sacai x VaporWaffle 'Sesame Blue Void' emerges with retro and modern inspiration. Drawing from the 1983 Pegasus and the VaporFly the shoe's hybrid construction is built with textile on the upper overlaid by leather and suede and finished in neutral tones. Blue Void marks one of the Swooshes and the heel patch while two tongues add to the double aesthetic. Underfoot a layered foam midsole provides cushioning split at the heel giving way to a waffle rubber outsole for traction.
Nike Vaporwaffle sacai Dark Iris, Nike, DD1875-500, 180, 258, 221, 199, 6374fd7803a96e36ed3d38d4, Nike Vaporwaffle, Purple/Orange-Summit White-Black, 2021-04-29, Nike tapped Chitose Abe's fashion label on the Sacai x VaporWaffle 'Dark Iris.' The shoe's retro-inspired construction combines elements of the Pegaus 83 and Vaporfly built with nylon suede and leather and finished in Dark Iris and Campfire Orange. Dual Swoosh branding marks the side wall with double laces and tongues adding to the aesthetic while the heel patch includes co-branding. Underfoot a partially split foam midsole provides cushioning and contrast giving way to a rubber waffle outsole for traction.
Nike Vaporwaffle sacai Villain Red Neptune Green, Nike, DD3035-200, 180, 288, 306, 293, 6374fd7803a96e36ed3d38d5, Nike Vaporwaffle, String/Black-Villain Red-Neptune Green, 2020-12-21, The Sacai x VaporWaffle SP 'String Villain Red' released as part of a collaboration with the progressive fashion label. Drawing from a 2019 LDV Waffle from the two brands the shoe's upper is built with mesh overlaid by Villian Red and Neptune Green suede. The Swoosh tongue and laces all sport a double construction with a similiar design on the stacked midsole which includes a split heel.
Nike Vaporwaffle sacai Sport Fuchsia Game Royal, Nike, CV1363-100, 180, 455, 300, 300, 6374fd7803a96e36ed3d38d6, Nike Vaporwaffle, Sail/Sport Fuchsia-Light Bone-Game Royal, 2020-11-13, The Sacai x VaporWaffle 'Sail' features a stacked construction. A collaboration between Nike and Sacai the shoe draws from their 2019 LDV Waffle release. As a result the shoe includes double tongues Swooshes and tongue tags. Co-branding marks the heel patch while underfoot the stacked midsole includes a split construction at the heel. A waffle outsole is included for traction.
Nike React Phantom Run Flyknit 2 Flash Crimson Baltic Blue, Nike, CZ7865-100, 145, 69, 63, 60, 6374fd7803a96e36ed3d38d8, Nike React Phantom Run Flyknit 2, White/Flash Crimson-Baltic Blue-Black, 2020-08-07, The React Phantom Run Flyknit 2 'Crater' emerges with a neutral look highlighted by vibrant accents. The shoe's Flyknit upper appears primarily in grey with vibrant Flywire cables worked into the midfoot. A TPU heel counter provides stability while the tongue and heel pull-loops provide easy on and off as well as further color. Underfoot a React foam midsole is included for cushioning.
