,shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
0,ASICS Gel-Lyte V Kith Salmon Toe, ASICS, 1201A542-700, 165, 100, 130, 103, 6374feabeae4ab372ce3e546, ASICS Gel-Lyte V, Blue/Salmon, 2021-11-24, To help celebrate the New York retailer's 10th anniversary is the Kith x ASICS Gel Lyte 5 'Salmon Toe.' It was first made available to participants of a Zoom panel that Ronnie Fieg hosted in November 2021. It features a navy and pink color scheme with a pigskin suede upper with a perforated toe box and shite synthetic leather side stripes. 'KXTH' is embossed on the heel overlay with alternating ASICS and Fieg branding on each tongue. A white EVA midsole packs Gel cushioning in the heel.
1,ASICS Gel-Kayano 21 Awake NY Grey, ASICS, 1201A459-020, 180, 213, 175, 175, 6374feabeae4ab372ce3e547, ASICS Gel-Kayano 21, Grey/White, 2021-12-02, Inspired by the New York streetwear brand's concrete and steel stomping grounds is the Awake NY x ASICS Gel Kayano 21 'Cool Grey.' The lifestyle runner combines a breathable grey mesh construction with reflective silver tiger stripes and off-white suede overlays the latter featuring an Awake logo debossed on the lateral forefoot. It's built on a sculpted FluidRide midsole enhanced with visible ASICS Gel cushioning in the forefoot and heel.
2,ASICS Gel-Chappal GmbH Black, ASICS, 1201A098-001, 255, 258, 616, 616, 6374feabeae4ab372ce3e54f, ASICS Gel-Chappal, Black/Black, 2020-12-10, ASICS teamed up with the Berlin fashion label to create the GmbH x Gel Chappal 'Black' in December 2020. Built with vegan leather the shoe's slip-on upper appears in black with the lateral collars sporting mismatched GmbH and ASICS branding. The decorative cross-strap design borrowed from the chappal traditional footwear from South India while underfoot the Gel midsole draws from the Gel-Kinsei OG.
3,ASICS Gel-Lyte III Sean Wotherspoon x atmos, ASICS, 1203A019-000, 165, 198, 165, 165, 6374feabeae4ab372ce3e553, ASICS Gel-Lyte III, Multi, 2020-06-27, A collaborative look Sean Wotherspoon x Atmos x Gel Lyte 3 'Corduroy' gives the nod to both 20 years of atmos and 30 years of the retro runner. The shoe's upper emerges with a vibrant corduroy construction sporting mismatched color blocking with the right shoe drawing from Los Angeles and the left from Tokyo. The Tiger stripes are interchangeable while Gel underfoot provides cushioning.
4,ASICS Gel-Kayano 26 Vivienne Westwood Black, ASICS, 1021A320-001, 228, 107, 160, 160, 6374feabeae4ab372ce3e554, ASICS Gel-Kayano 26, Black/Black, 2020-09-28, Inspired by Vivienne Westwood's 1983 Buffalo collection the Vivienne Westwood x Gel Kayano 26 'Black' features a progressive look. Built with textile the shoe's upper appears in black overlaid by an open-mesh shroud and bolstered by a toggle lacing system. The heel sports Westwood's Orb Saturn logo while underfoot the midsole combines Flytefoam and Gel in the heel to provide cushioning.
5,ASICS Gel-1090 A Bathing Ape Tiger Camo, ASICS, 1023A061-200, 140, 226, 149, 149, 6374feabeae4ab372ce3e559, ASICS Gel-1090, Khaki Green/Yellow/Red, 2021-06-26, Made with the help of the Japanese streetwear brand the BAPE x Gel 1090 'Camo' brings camouflage detailing to the 2003 runner. The design emerges on a textile upper overlaid by olive suede at the forefoot and heel and highlighted by orange Tiger stripes on the lateral side. The medial side instead sports BAPE's Tiger Shark motif while underfoot a black EVA midsole with Gel in the heel offers cushioning. A decoupled rubber outsole is included for traction.
6,ASICS Gel-Kayano 14 White Pure Gold, ASICS, 1201A019-102, 150, 152, 137, 137, 6374feabeae4ab372ce3e55b, ASICS Gel-Kayano 14, White/Pure Gold, 2021-01-12, The Gel Kayano 14 'White Pure Gold' brings elevated accents to its mid-2000s running construction. The first shoe in the Kayano line designed by Hidenori Yamashita this 2021 release includes a white mesh base bolstered by metallic silver synthetic overlays highlighted by Pure Gold at the heel. Black Tiger stripes contrast the side wall while underfoot the EVA midsole includes further Pure Gold on the visible Gel that provides cushioning.
7,ASICS Gel-Lyte III OG Changing of the Seasons Pack Summer, ASICS, 1201A296-300, 120, 107, 127, 127, 6374feabeae4ab372ce3e55d, ASICS Gel-Lyte III OG, Lichen Rock/Edible Moss, 2021-10-13, The ASICS Gel Lyte 3 OG 'Momijigari Natsu' is part of the two-piece 'Changing of the Seasons Pack' which features a lush color scheme inspired by late summer. Varying shades of green are on the suede upper with leather tiger stripes and microperforated detailing on the toe box and quarter panel. The Japanese word for summer 'Natsu' is embroidered on top of the Gel Lyte 3's signature split tongue. It's built on a compression-molded EVA midsole with a vintage off-white finish and Gel cushioning on the heel.
8,ASICS Gel-Kayano 27 LTX Vivienne Westwood Citrus, ASICS, 1201A115.800, 240, 124, 75, 75, 6374feabeae4ab372ce3e560, ASICS Gel-Kayano 27 LTX, Citrus/Black, 2021-04-10, ASICS teamed up with the British fashion designer to create the Vivienne Westwood x Gel Kayano 27 LTX 'Citrus' part of a three-shoe collection. Drawing from Vivienne Westwood's latex stockings the shoe's upper features a semitranslucent TPU shroud finished in Citrus and secured by a zip closure which complements the look in red. A heel pull-loop provides easy on and off while underfoot a FLYTEFOAM Propel midsole with visible Gel in the heel provides cushioning.
9,ASICS Gel-Nandi 360 GmbH Skylight, ASICS, 1021A415-401, 180, 125, 135, 135, 6374feabeae4ab372ce3e563, ASICS Gel-Nandi 360, Skylight/Skylight, 2020-06-27, The GmbH x Gel Nandi 360 'Skylight' released as part of a collaboration with the Berlin fashon label. The shoe's upper is built with mesh bolstered by no-sew synthetic skins and a leather forefoot overlay all finished in teal. Integrated midfoot straps support the lacing system while underfoot full-length Gel provides cushioning while maintaining the monochromatic look.
10,ASICS Gel-Lyte III White Teal Blue, ASICS, 1191A266-103, 110, 63, 75, 75, 6374feabeae4ab372ce3e564, ASICS Gel-Lyte III, White/Teal Blue, 2020-06-01, Released for the 30th anniversary of the silhouette the Gel Lyte 3 OG 'Blue Aqua' features a retro-style colorway. Built with a mesh base overlaid by leather and suede the upper appears in a mix of white teal and purple. The classic split-tongue construction supports the fit while underfoot the midsole houses Gel for cushioning giving way to a rubber outsole for traction.
11,ASICS Gel-Lyte I Day-Lyte, ASICS, 1201A433-100, 90, 69, 65, 65, 6374feabeae4ab372ce3e565, ASICS Gel-Lyte I, White/Lemon Spark, 2021-06-11, Drawing from past colorways from the brands' performance running archive the Gel Lyte 1 'Day Lyte Pack' features a vibrant look. Built with a white mesh base the shoe's upper is highlighted by a series of energetic hues throughout with leather on the Tiger stripes and suede on the forefoot and heel. Underfoot a tri-density foam midsole with Gel in the heel provides cushioning giving way to a rubber outsole for traction.
12,ASICS Gel-Kayano 27 LTX Vivienne Westwood Vapor, ASICS, 1201A115.500, 240, 68, 75, 75, 6374feabeae4ab372ce3e567, ASICS Gel-Kayano 27 LTX, Vapor/Black, , Made in collaboration with the British fashion designer the Vivienne Westwood x Gel Kayano 27 LTX 'Vapor' features inspiration from her latex stockings. Part of a three-shoe collection the shoe's upper emerges with a semitranslucent TPU shroud on the upper with a zip closure securing the fit. The lateral heel includes co-branding including Vivienne Westwood's Orb Saturn logo while underfoot a FLYTEFOAM Propel midsole provides cushioning working with visible Gel in the heel.
