shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Jordan 1 Retro High OG Chicago Lost and Found, Jordan, DZ5485-612, 180, 286, 248, 248, 6374fd9903a96e36ed3d43ee, Jordan 1 Retro High OG, Varsity Red/Black-Sail-Muslin, 2022-11-19, The Air Jordan 1 Retro High OG 'Chicago Lost & Found' brings back the famous 'Chicago' colorway with new storytelling elements. Featuring the OG high-cut shape the leather upper features a white base with Varsity Red overlays and a black Swoosh and Wings logo. Cracked black leather on the padded collar gives it a vintage look along with a pre-yellowed midsole. The packaging also tells the 'Lost & Found' story with a damaged-looking box plastered with sale stickers showcasing a different colored lid. A receipt is also included alluding to finding this vintage gem tucked away in an attic or storage space.
Jordan 1 Retro Low OG Zion Williamson Voodoo, Jordan, DZ7292-200, 170, 208, 197, 197, 6374fd9903a96e36ed3d43ef, Jordan 1 Retro Low OG, Flax/Muslin-Fauna Brown-Oil Green-Sesame-Moon Fossil, 2022-11-08, Continuing the hoops star's partnership with Jordan Brand the Zion Williamson x Air Jordan 1 Retro Low OG ‘Voodoo’ features a quixotic mix of patchwork exposed stitching reverse Swooshes and upside-down Wings branding. Beige suede quarter paneling and a toe box in brown suede contrast with rough overlays in Fossil Oil Green and pale brown. Voodoo-doll stitching appears on the the lateral heel and concealed beneath both unstitched heel tabs are ‘Voodoo’ and ‘Zion’ images. The upper rides on an off-white midsole with stitching that is different on the right and left and is paired with outsoles in gum rubber.
Nike Air Force 1 Low '07 White, Nike, 315122-111/CW2288-111, 110, 94, undefined, undefined, 6374fd9903a96e36ed3d43f0, Nike Air Force 1 Low '07, White/White, 2007-11-24, The Nike Air Force 1 Low White ‘07 features an all-white leather upper with a perforated toe box and Swoosh overlays. A Nike heel embroidery and white sole completes the design.The Nike Air Force 1 Low White ‘07 originally released in 2007 but since it is an essential colorway to the brand it consistently restocks.To shop all Nike Air Force 1 shoes <a href="https://stockx.com/nike/air-force/1">click here.</a> 
adidas Yeezy Slide Onyx, adidas, HQ6448, 60, 94, 82, 82, 6374fd9903a96e36ed3d43f1, adidas Yeezy Slide, Onyx/Onyx/Onyx, 2022-03-07, 
Jordan 1 Mid Light Smoke Grey, Jordan, 554724-092, 115, 159, 130, 124, 6374fd9903a96e36ed3d43f2, Jordan 1 Mid, Light Smoke Grey/Black-White, 2020-06-09, The Air Jordan 1 Mid 'Smoke Grey' brings a subdued look to Michael Jordan's first signature shoe. Built with leather the upper sports a white base overlaid by Light Smoke Grey with black on the Swoosh laces and 'Wings' branding. Underfoot the midsole houses the usual Air for cushioning. The concentric outsole provides traction.
adidas Yeezy Foam RNR Onyx, adidas, HP8739, 80, 173, 153, 153, 6374fd9903a96e36ed3d43f4, adidas Yeezy Foam RNR, Onyx/Onyx/Onyx, 2022-06-08, Utilizing a sleek monochrome finish the adidas Yeezy Foam Runner ‘Onyx’ is an understated colorway for a futuristic slip-on. A molded one-piece upper showcases open vents for breathability while the injected EVA foam is lightweight and is secured by a unique traction pattern for grip.
Jordan 1 Low Eastside Golf Out of the Mud, Jordan, DV1759-448, 130, 145, 146, 146, 6374fd9903a96e36ed3d43f5, Jordan 1 Low, Midnight Navy/Midnight Navy-Burnt Sunrise-White, 2022-11-12, A legacy shoe is reinterpreted with the Eastside Golf x Air Jordan 1 Low ‘Out the Mud.’ The off-white midsole sits atop a clear rubber outsole in Redstone supporting an allover Midnight Navy upper in nubuck with matching Swoosh. A vintage Wings logo is seen on the tongue and the kick's rear view salutes the design collaboration with 'Eastside Golf' lettering on the left heel and the lifestyle brand's stitched logo on the right.
Jordan 1 Retro High OG Starfish (W), Jordan, DO9369-101, 180, 160, 147, 147, 6374fd9903a96e36ed3d43f6, Jordan 1 Retro High OG, White/Starfish-Cacao Wow-Sail, 2022-10-27, The Women's Air Jordan 1 Retro High OG 'Starfish' brings the orange hue most famously seen on the 'Shattered Backboard' series into a new iteration of the classic hoops silhouette. An all-leather build on the upper features white on the profile and toe area while the orange Starfish color adorns the overlays and the Swoosh. A rich shade of brown can be seen on the collar of the shoe along with the Wings logo. A Nike Air tag sits atop the nylon tongue while a Sail midsole features an encapsulated Nike Air unit leading to a durable rubber outsole.
Jordan 1 Retro High OG Taxi, Jordan, 555088-711, 170, 168, 144, 144, 6374fd9903a96e36ed3d43f7, Jordan 1 Retro High OG, Taxi/Black-Sail, 2022-09-24, This 'Yellow Toe' colorway of the Air Jordan 1 Retro High OG also known as 'Taxi' brings back a distinct blocking first seen in the 'Bred Toe' from 2018. The all leather build combines a white base with a yellow toe box and heel/ankle area. Black leather overlays the toe and lace area as well as appearing on the Wings logo and Swoosh. The classic AJ1 midsole/outsole combination returns with a crisp white sidewall and yellow rubber outsole. 
Jordan 1 Retro High OG Bleached Coral, Jordan, 555088-108, 180, 205, 198, 180, 6374fd9903a96e36ed3d43f8, Jordan 1 Retro High OG, White/Black/Grey Fog/Bleached Coral, 2022-07-02, Featuring neutral tones on the foundational sneaker is the Air Jordan 1 Retro High OG 'Stage Haze.' Its' upper combines a white leather base with a grey suede heel overlay and a forefoot overlay in cracked black leather. Matching black accents are featured on the signature Swoosh and a retro Wings logo stamped on the lateral ankle. Nike branding is outlined in Bleached Coral on the woven tongue tag while the high-top rests on a rubber cupsole that pairs white sidewalls with a grey rubber outsole.
